Word,Rank,Frequency
matter,427,1497
afraid,428,1494
alone,429,1494
brown,430,1494
tree,431,1491
evening,432,1488
wish,433,1485
got,434,1479
fall,435,1474
john,436,1461
commanded,437,1455
family,438,1455
enter,439,1453
less,440,1453
friends,441,1449
towards,442,1448
replied,443,1443
answer,444,1440
ten,445,1431
kind,446,1428
behind,447,1423
twenty,448,1416
toward,449,1404
drink,450,1404
die,451,1404
black,452,1401
war,453,1399
times,454,1398
second,455,1381
bread,456,1377
hour,457,1374
book,458,1368
along,459,1360
midst,460,1350
money,461,1348
haue,462,1344
reason,463,1338
silver,464,1335
waters,465,1329
joy,466,1326
field,467,1321
weston,468,1320
priests,469,1317
kept,470,1317
large,471,1305
saul,472,1305
ask,473,1300
country,474,1299
mighty,475,1299
help,476,1295
red,477,1293
living,478,1287
feel,479,1278
fine,480,1278
macian,481,1278
remember,482,1275
kings,483,1275
wicked,484,1269
often,485,1269
course,486,1263
understand,487,1260
garden,488,1251
spoken,489,1245
pleasure,490,1239
returned,491,1239
person,492,1239
ready,493,1233
sweet,494,1224
certainly,495,1221
nature,496,1221
dark,497,1218
green,498,1215
strange,499,1212
dwell,500,1212
burnt,501,1209
boat,502,1209
women,503,1206
altar,504,1206
alice,505,1203
short,506,1201
able,507,1199
nations,508,1199
send,509,1191
broken,510,1191
written,511,1188
faith,512,1185
table,513,1182
anything,514,1182
master,515,1181
bed,516,1179
chief,517,1177
surely,518,1167
knightley,519,1167
ought,520,1158
gods,521,1158
elton,522,1155
strength,523,1151
wherefore,524,1149
laid,525,1149
rose,526,1147
praise,527,1143
either,528,1141
ran,529,1140
jacob,530,1140
itself,531,1134
judgment,532,1131
congregation,533,1128
trees,534,1125
business,535,1124
gate,536,1122
yea,537,1113
wise,538,1110
six,539,1109
honour,540,1107
meet,541,1107
walked,542,1101
received,543,1100
glad,544,1095
kingdom,545,1092
suppose,546,1086
works,547,1080
lost,548,1078
doubt,549,1077
suddenly,550,1077
ham,551,1074
beyond,552,1068
hair,553,1068
wall,554,1066
aaron,555,1056
blessed,556,1053
arm,557,1053
opened,558,1050
talk,559,1044
seek,560,1041
case,561,1036
knowledge,562,1035
offer,563,1032
hard,564,1030
immediately,565,1029
mercy,566,1029
chapter,567,1026
